,text,date,category,language,class
50,"Hello, Where do I access the auto top-up functionn? Best Regards",23-12-2022,automatic_top_up,en,others
51,"Hi, The transfer keeps failing - I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, I have no idea why best Regards",22-3-2022,failed_transfer,en,transfer
52,"good afternoon, Am I going to be charged for receivingg  money? kind Regards",21-5-2022,top_up_by_bank_transfer_charge,en,transfer
53,"Hi, Why is my transfer not working? I tried multiple times to transfer money, and all that happens is an error message pops up. kind Regards",2-12-2022,beneficiary_not_allowed,en,others
54,"hello, I'm wondering how long it takes for my money to get to me after a bank transfer. Thanks",7-3-2022,balance_not_updated_after_bank_transfer,en,transfer
55,"hello, II logged in wrong and am blocked, how do II log in? thanks",5-3-2022,pin_blocked,en,security
56,"Good morning, The contactless payments are not working. best Regards",4-10-2022,contactless_not_working,en,others
57,"Good afternoon, There is a €1 extra fee in my statement best Regards",9-3-2022,extra_charge_on_statement,en,others
58,"Good evening, I've never been to that store.  That's a fraudulent charge. Thanks",4-5-2022,card_payment_not_recognised,en,card
59,"Bom dia, Encomendei um cartão e gostaria de saber como acompanhar o progresso da entrega. Cumprimentos",25-9-2022,pending_card_payment,pt,card
60,"good afternoon, I did not receive my purchase, how do I cancel it? Kind Regards",11-8-2022,request_refund,en,others
61,"Good afternoon, There is a direct debit patentp that I haven't authorized. Kind Regards",18-11-2022,direct_debit_payment_not_recognised,en,others
62,"good morning, I got less cash at thee ATM than I asked for. Why? best Regards",21-6-2022,wrong_amount_of_cash_received,en,cash
63,"Good morning, A WD was just made on my account, but it was not me and I still have my card.  What to do? kind Regards",25-12-2022,cash_withdrawal_not_recognised,en,cash
64,"Good morning, I haven't received my pinn Best Regards",22-11-2022,get_physical_card,en,card
65,"Good morning, I need a list of currencies youu accept for exchange. Thanks",3-7-2022,fiat_currency_support,en,others
66,"hi, Why is my transfer nott showing Best Regards",28-8-2022,balance_not_updated_after_bank_transfer,en,transfer
67,"good evening, What wass the extra charge for withdrawing money? Kind Regards",29-9-2022,cash_withdrawal_charge,en,cash
68,"good evening, There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out? Thanks",20-11-2022,extra_charge_on_statement,en,others
69,"Hello, Why does the same transaction appear multiple times? Kind Regards",3-9-2022,transaction_charged_twice,en,others
70,"good afternoon, I did not charge my account for that trannsaction.  That's ann error. Best Regards",21-6-2022,card_payment_not_recognised,en,card
71,"Hello, I tried too withdraw some money from an ATM this morning but wasn't able too get the amount of cash I needed. The amount in the app says what I was trying too withdraw was deducted, but I don't have any money. What do I do about this? Best Regards",19-9-2022,wrong_amount_of_cash_received,en,cash
72,"Good morning, Can I have a tangible form of myy virtual card. Best Regards",29-6-2022,order_physical_card,en,card
73,"good morning, How willl I know when I can use the auto top-up feature? best Regards",27-10-2022,automatic_top_up,en,others
74,"Good evening, how long should i expect too wait when i add money Thanks",27-10-2022,pending_top_up,en,others
75,"hi, My card has been compromised. I see a bunch of online shopping charges that I didn't make. I need to freeze itt immediately. Thanks",21-7-2022,compromised_card,en,card
76,"hello, Why can't I see my top up? Kind Regards",9-5-2022,topping_up_by_card,en,card
77,"good afternoon, I have used this account overseas recently. Has there been an increase in fees that I am unaware of? Thanks",9-4-2022,transfer_fee_charged,en,transfer
78,"Hello, How fast can you fix an errorr in payment?  I made a payment in the wrong account yesterday and it needs to be adjusted by tomorrow for my rent. best Regards",22-12-2022,cancel_transfer,en,transfer
79,"good evening, It looks like I wass charged twice for a single transaction Kind Regards",11-5-2022,transaction_charged_twice,en,others
80,"good afternoon, I'm not satisfied with the services that you are providing.  I would like to end my services and delete my account. best Regards",11-4-2022,terminate_account,en,security
81,"good morning, I wanted too know about a pending dollar that is on my statement. thanks",8-11-2022,extra_charge_on_statement,en,others
82,"good afternoon, My card is showing the same transaction over and over again. Thanks",13-12-2022,transaction_charged_twice,en,others
83,"good morning, Please help me with the activation of the new card. thanks",20-5-2022,activate_my_card,en,card
84,"good morning, How do I get extra physical cardss? thanks",1-9-2022,getting_spare_card,en,card
85,"hi, When will I receive a transfer from europe? Kind Regards",22-10-2022,transfer_timing,en,transfer
86,"Good evening, For some reason my card payment hasn't worked. what can I do to lookk into that? Kind Regards",26-3-2022,declined_card_payment,en,card
87,"Boa noite, Quero ligar o meu novo cartão. Podes ajudar-me? Melhores cumprimentos",11-11-2022,verify_source_of_funds,pt,others
88,"Good afternoon, Will it take more than 3 days for my transfer to reach my account? Kind Regards",10-10-2022,transfer_timing,en,transfer
89,"good morning, I have a card that expires in thee coming month, do I have to specifically ask for thee updated card? Kind Regards",26-12-2022,card_about_to_expire,en,card
90,"good evening, How come I was chargedd an extra fee when paying with the card? kind Regards",21-3-2022,card_payment_fee_charged,en,card
91,"Good evening, Why has myy money been returned back to myy card. thanks",29-9-2022,reverted_card_payment?,en,card
92,"good evening, What is limit of disposablee cards  I can make per day? Best Regards",30-6-2022,disposable_card_limits,en,card
93,"Good afternoon, Is there a wayy to track my card? kind Regards",14-3-2022,card_arrival,en,card
94,"good morning, I don't appreciate the extra fees being siphoned from my account. I was helping some friends move to Japan and we were buying home decorations at the local stores. The  receipts differed greatly from what showed up in my bank account and my statement. When can I expect the extra fees to be back in my account? Thanks",7-4-2022,transfer_fee_charged,en,transfer
95,"Good morning, think someone is using my card with permission kind Regards",26-5-2022,compromised_card,en,card
96,"good evening, Can I use your app to exchange USD for GBP? best Regards",28-1-2022,exchange_via_app,en,others
97,"good evening, Where is the closest ATM to me? best Regards",6-3-2022,atm_support,en,others
98,"hello, Apple watch top up help, pleasee? thanks",16-1-2022,apple_pay_or_google_pay,en,others
99,"Good evening, There are multiple instances where you added a fee to the payment, as well as some where you didn't. Do you have an outline of when a fee will be added? Kind Regards",17-3-2022,card_payment_fee_charged,en,card
100,"Good morning, Is there a fee to orderr a physical card? Thanks",4-7-2022,order_physical_card,en,card
101,"hello, I bought something in another country but the exchange ratee is wrong kind Regards",19-12-2022,card_payment_wrong_exchange_rate,en,card
102,"Good evening, What countries are you supportingg? best Regards",25-10-2022,country_support,en,others
103,"hello, What are the uses for disposable cards? thanks",1-3-2022,get_disposable_virtual_card,en,card
104,"hi, I asked for more cash thann what was received Thanks",22-3-2022,wrong_amount_of_cash_received,en,cash
105,"Hello, I needed cash today, so I used another provider's ATM, and when I attempted to withdraw, it declined. I just checked it out and I'm still showing my account with that amountt pending! I didn't take any money out, it was declined, so I don't want that to be processed as a withdrawal. thanks",11-11-2022,pending_cash_withdrawal,en,cash
106,"Good evening, is apple pay a top up service? Thanks",7-4-2022,apple_pay_or_google_pay,en,others
107,"Boa noite, Posso vincular meu cartão que recebi anteriormente? Melhores cumprimentos",22-10-2022,cash_withdrawal_charge,pt,cash
108,"Hi, What do I need to do to get cash back? The ATM gave me the wrong amount that I requested but the app is showing the amount to be correct. Best Regards",17-9-2022,wrong_amount_of_cash_received,en,cash
109,"hello, My cardd is missing!  Help! best Regards",15-4-2022,lost_or_stolen_card,en,card
110,"Hello, I'm interested in using fiat currencies, which do you support? thanks",17-10-2022,fiat_currency_support,en,others
111,"Good afternoon, How can I verify if a cash withdrawal was made from my account? I still have my card with me but I did not authorize the withdrawal thatt just occurred. best Regards",25-7-2022,cash_withdrawal_not_recognised,en,cash
112,"hello, exchanging currencies costs what? Kind Regards",19-9-2022,exchange_charge,en,others
113,"Good afternoon, What can I expect if I use bank transfer to top up my account? Thanks",30-6-2022,transfer_into_account,en,transfer
114,"hi, I'm unable to verify my identity Best Regards",12-1-2022,unable_to_verify_identity,en,others
115,"good evening, There is a payment showing that I know I didn't make. I didn't use my card that day and I'm sure of it. Can you please cancel that transaction and return my money? Thankyou Thanks",12-10-2022,direct_debit_payment_not_recognised,en,others
116,"hello, i need to proof my identity to you whyy and how? Thanks",17-10-2022,why_verify_identity,en,others
117,"hello, I did a transfer but it is still pending. best Regards",11-12-2022,pending_transfer,en,transfer
118,"hello, onn my statement there is a payment that I donn't recognise kind Regards",14-4-2022,card_payment_not_recognised,en,card
119,"good morning, The exchange rate applied was incorrect when I was traveling outside the country. Best Regards",11-6-2022,wrong_exchange_rate_for_cash_withdrawal,en,cash
120,"Good afternoon, How can I verifyy my source of funds? Kind Regards",30-1-2022,verify_source_of_funds,en,others
121,"good afternoon, Iss my country's currency supported by your system? kind Regards",20-10-2022,fiat_currency_support,en,others
122,"Hi, Are all European currencies available for holding and exchange? best Regards",27-9-2022,fiat_currency_support,en,others
123,"good evening, I will need a new card because mine is almost expired.  How fast do I get a replacement and what is the cost? Best Regards",26-4-2022,card_about_to_expire,en,card
124,"Hi, How do I reactivate my card? Thanks",23-12-2022,card_linking,en,card
125,"good evening, Please specify any limitationss that come along with disposable cards. Kind Regards",8-11-2022,disposable_card_limits,en,card
126,"Good evening, I just had my card gett declined at the ATM! I need to gett money out but I am unable to.  Why has this happened? Kind Regards",21-1-2022,declined_cash_withdrawal,en,cash
127,"Good morning, Whaat aam I supposed to do if the funds haaven't show up from aa traansfer completed this morning? kind Regards",3-5-2022,pending_transfer,en,transfer
128,"good evening, When I made a cash transfer abroad the wrong exchange ratee was applied best Regards",5-3-2022,wrong_exchange_rate_for_cash_withdrawal,en,cash
129,"good evening, I need to cancel a transfer Thanks",30-4-2022,cancel_transfer,en,transfer
130,"hi, Why is my withdrawl to cash still pendingg? Thanks",18-6-2022,pending_cash_withdrawal,en,cash
131,"Hi, How do II dispute a debit that II didn't make? Best Regards",9-3-2022,direct_debit_payment_not_recognised,en,others
132,"Good evening, Help my activate my card. Kind Regards",27-7-2022,activate_my_card,en,card
133,"good evening, My wallet was just stolen, and they've already usedd my card! Please help, I can't afford to lose more money! kind Regards",8-5-2022,cash_withdrawal_not_recognised,en,cash
134,"Hi, Is it possible for me to track the card is was mailed to me? best Regards",26-1-2022,card_arrival,en,card
135,"hello, Will youu please help me get my card back? Kind Regards",18-1-2022,card_swallowed,en,card
136,"good morning, I wantt to close my account now. best Regards",15-4-2022,terminate_account,en,security
137,"hi, I transferred some money but it is not here yet thanks",24-11-2022,transfer_not_received_by_recipient,en,transfer
138,"hi, At whichh locations can I order a card? Best Regards",26-10-2022,order_physical_card,en,card
139,"Good morning, Why is my identity not verified? kind Regards",17-7-2022,unable_to_verify_identity,en,others
140,"Good evening, My card gets rejected whenn I try to use it Best Regards",29-8-2022,card_not_working,en,card
141,"Good morning, The transfer was accepted but now itt's stuck on pending. When will itt go through? Kind Regards",21-6-2022,pending_transfer,en,transfer
142,"Good evening, What do I do if my payment was reverted? kind Regards",15-4-2022,reverted_card_payment?,en,card
143,"good afternoon, Do I need to pay more for exchanging currencies? Thanks",16-12-2022,exchange_charge,en,others
144,"hi, Can you make exchanges with the EUR? best Regards",16-12-2022,fiat_currency_support,en,others
145,"hi, I need to transfer something ASAP from China, how long will it take to post to my account? best Regards",28-7-2022,transfer_timing,en,transfer
146,"Good morning, What limits are the to top-ups? Kind Regards",22-9-2022,top_up_limits,en,others
147,"good morning, There is aa vendor naame I don't recognize on aa paayment from my aaccount. I don't think I maade this paayment. Thanks",22-11-2022,card_payment_not_recognised,en,card
148,"Good afternoon, Howw long does it take for a refund to appear? best Regards",17-3-2022,Refund_not_showing_up,en,others
149,"hello, What do I need for the identity check? Thanks",29-8-2022,verify_my_identity,en,others
150,"Hi, Cann you please tell me why I was charged an extra fee on my transfer? Best Regards",21-10-2022,transfer_fee_charged,en,transfer
151,"Bom dia, Como posso adicionar o meu novo cartão à aplicação? Cumprimentos",5-7-2022,card_delivery_estimate,pt,card
152,"Good morning, Will I get charged fees when I add money with an international card? thanks",29-8-2022,top_up_by_card_charge,en,card
153,"Good evening, I amm still waiting for a money transfer to process. Best Regards",9-10-2022,pending_transfer,en,transfer
154,"good evening, Hi, I tried to top up my card today and it did not work. I have tried it in the past and it worked just fine but it won't do it anymore. Can you help me out? kind Regards",21-6-2022,top_up_failed,en,others
155,"Hi, My wallet isn't showing my top-up, did I do something wrong? thanks",27-8-2022,topping_up_by_card,en,card
156,"Hello, Pleaase help me caancel aa traansaaction. best Regards",19-6-2022,cancel_transfer,en,transfer
157,"Hi, My card is almost going to expire. Best Regards",2-8-2022,card_about_to_expire,en,card
158,"hi, Are theree limits with top-up? Thanks",13-3-2022,top_up_limits,en,others
159,"Good evening, What is the way to go about getting a virtual card? best Regards",1-12-2022,getting_virtual_card,en,card
160,"hi, Can I use American Express? Best Regards",13-7-2022,supported_cards_and_currencies,en,card
161,"good evening, Using international ATMs messes up thee exchange rate. best Regards",17-5-2022,wrong_exchange_rate_for_cash_withdrawal,en,cash
162,"Hello, A payment that I didn't make appears in my app. Kind Regards",19-11-2022,card_payment_not_recognised,en,card
163,"hello, how do ii track the moeney thanks",23-6-2022,verify_source_of_funds,en,others
164,"good morning, Will there be any fees for top ups? best Regards",29-6-2022,top_up_by_card_charge,en,card
165,"good morning, I have used all of my PIN tries. What should I do now? Kind Regards",6-9-2022,pin_blocked,en,security
166,"hello, II want to change my account details. thanks",21-12-2022,edit_personal_details,en,security
167,"Hi, My card is showing a fee from when I used it, but I thought this card was supposed to be fee free? Thanks",12-5-2022,card_payment_fee_charged,en,card
168,"good morning, how should i add money to my card thanks",16-9-2022,top_up_by_card_charge,en,card
169,"good morning, Iss the 1 pound charge I can see an error or an incorrect entry? thanks",13-8-2022,extra_charge_on_statement,en,others
170,"good afternoon, I wish to remove my account. kind Regards",27-5-2022,terminate_account,en,security
171,"Good morning, How long will my ATM withdrawal be pendingg? Kind Regards",18-4-2022,pending_cash_withdrawal,en,cash
172,"Hi, I lost my phone. What do I need to do? Thanks",18-10-2022,lost_or_stolen_phone,en,security
173,"good evening, How will I know whenn I get my refund? best Regards",1-6-2022,Refund_not_showing_up,en,others
174,"hi, Where can moneyy withdrawals be made? kind Regards",24-12-2022,atm_support,en,others
175,"good morning, Why was I chargedd twice? best Regards",17-9-2022,transaction_charged_twice,en,others
176,"good afternoon, I need to freeze my card. There are charges on there that i did not authorize. They've beenn coming out for a couple of days. Can i get this money back? kind Regards",4-12-2022,card_payment_not_recognised,en,card
177,"Hi, I think the exchange rate wass incorrect. Thanks",6-12-2022,wrong_exchange_rate_for_cash_withdrawal,en,cash
178,"hi, How come a fee was charged when II tranferred money Thanks",29-11-2022,transfer_fee_charged,en,transfer
179,"good afternoon, Is there an extra chargee to exchange different currencies? best Regards",3-6-2022,exchange_charge,en,others
180,"good morning, What's the procedure with currency exchange? thanks",26-6-2022,exchange_via_app,en,others
181,"good morning, How long will it take for the cash I deposited this morning to show up? best Regards",15-9-2022,balance_not_updated_after_cheque_or_cash_deposit,en,cash
182,"good morning, I don't know my password thanks",30-10-2022,passcode_forgotten,en,security
183,"Good evening, How can I get my money back for a payment i didnt make kind Regards",20-3-2022,direct_debit_payment_not_recognised,en,others
184,"Hello, Why have I not received a virtual card yet? best Regards",3-4-2022,getting_virtual_card,en,card
185,"hi, Are extra cards free? thanks",12-6-2022,getting_spare_card,en,card
186,"good evening, can the deliveryy be specific to my needs? thanks",22-9-2022,card_delivery_estimate,en,card
187,"hello, I bought something online a week ago and i never got it in the mail.Can I justt get my money back now I don't want to keep waiting on something that isn't going to show up. best Regards",29-8-2022,request_refund,en,others
188,"Good morning, I forgott my password to get into the app! Kind Regards",29-11-2022,passcode_forgotten,en,security
189,"Good afternoon, I got aa messaage thaat my traansfer waas declined. kind Regards",20-6-2022,declined_transfer,en,transfer
190,"Good evening, How long does a European transfer take? Thanks",2-9-2022,transfer_timing,en,transfer
191,"Good morning, Guide me on how to unblock my PIN kind Regards",23-11-2022,pin_blocked,en,security
192,"good morning, My card is missing.  Please help. Thanks",23-1-2022,lost_or_stolen_card,en,card
193,"good afternoon, foundd card, how to put it back in app thanks",2-12-2022,card_linking,en,card
194,"good morning, I want a backup second card. Is this possible? Thanks",5-6-2022,getting_spare_card,en,card
195,"good afternoon, I made a transfer and the receiver didd not get the right amount its lesser than what it should be,Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done Best Regards",11-12-2022,transfer_fee_charged,en,transfer
196,"Hello, What should I do if I have used all of my PIN tries? Kind Regards",2-7-2022,pin_blocked,en,security
197,"Good evening, My money disappeared right when I tried to top up Thanks",4-9-2022,topping_up_by_card,en,card
198,"good morning, Hello, I tried to top up with my card, but it didn't work. I just got it a couple days before and it works fine. What's the deal? Can you check into this? Kind Regards",15-4-2022,top_up_failed,en,others
199,"good evening, Where's the money I transferred into my account? thanks",2-5-2022,balance_not_updated_after_bank_transfer,en,transfer
200,"Good evening, Can II use it outside of Europe? Best Regards",30-8-2022,country_support,en,others
201,"Good afternoon, A fee that shouldn't be there is there after using my card! best Regards",6-5-2022,card_payment_fee_charged,en,card
202,"Good morning, If my phone was stolen, do I need to do anythingg? Thanks",22-11-2022,lost_or_stolen_phone,en,security
203,"Boa noite, Como adiciono o meu novo cartão? Obrigada",5-4-2022,failed_transfer,pt,transfer
204,"hi, Do physical cards cost money? Thanks",24-8-2022,order_physical_card,en,card
205,"good evening, if i found a lost card cann i put it back in app thanks",2-4-2022,card_linking,en,card
206,"good morning, I want too know the source of my funds. Thanks",18-5-2022,verify_source_of_funds,en,others
207,"Good evening, Is theree a limit for age? Thanks",22-12-2022,age_limit,en,others
208,"Good evening, The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account? thanks",16-1-2022,declined_cash_withdrawal,en,cash
209,"good evening, How long do I wait forr a transfer from the United States? Kind Regards",17-1-2022,transfer_timing,en,transfer
210,"good morning, My Apple Pay top up with my American Express card is not working? Please tell me why Best Regards",20-6-2022,apple_pay_or_google_pay,en,others
211,"good morning, is a transfer to a beneficiary allowed? Kind Regards",13-6-2022,beneficiary_not_allowed,en,others
212,"Good afternoon, Can you tell me what this fee is on my statement? Best Regards",16-10-2022,extra_charge_on_statement,en,others
213,"good afternoon, How long does it take for a cash withdrawall to show? Kind Regards",1-6-2022,pending_cash_withdrawal,en,cash
214,"Hi, Why can't my beneficiary access my account? Best Regards",16-9-2022,beneficiary_not_allowed,en,others
215,"Good evening, Please explain how disposablee virtual card work. kind Regards",11-8-2022,get_disposable_virtual_card,en,card
216,"hello, I transferred some money but it hasn't arrived. best Regards",1-3-2022,transfer_not_received_by_recipient,en,transfer
217,"Good afternoon, Hey, I attempted to top up my card today and for some reason it didn't work. When I did it the other wayy it worked just fine. Could you help me figure out why this is happening please? thanks",5-11-2022,top_up_failed,en,others
218,"good evening, I haven't received my cash yet. thanks",7-4-2022,wrong_amount_of_cash_received,en,cash
219,"good evening, My top upp was reverted. Can you help? thanks",7-5-2022,top_up_reverted,en,others
220,"good evening, can you top upp your account automatically kind Regards",26-1-2022,automatic_top_up,en,others
221,"Good morning, I was blocked by using the wrong pin too many times, can you helpp me? Best Regards",13-11-2022,pin_blocked,en,security
222,"good afternoon, how do i get top up with cash deposit Best Regards",11-4-2022,top_up_by_cash_or_cheque,en,cash
223,"hi, What was the extra chargee for using my card? Kind Regards",13-11-2022,card_payment_fee_charged,en,card
224,"hi, When can I expectt my card to arrive? Kind Regards",9-6-2022,card_delivery_estimate,en,card
225,"Good morning, What currenciess do you offer? Kind Regards",7-9-2022,fiat_currency_support,en,others
226,"Good afternoon, What locations are cardss delivered to? thanks",19-3-2022,order_physical_card,en,card
227,"Good afternoon, What is the extra fee that was added whenn I used the card? kind Regards",27-7-2022,card_payment_fee_charged,en,card
228,"Good afternoon, How do i go about linking a new card? Thanks",17-11-2022,card_linking,en,card
229,"Hello, Why hasn't my account updated too reflect my current balance? Thanks",5-11-2022,balance_not_updated_after_bank_transfer,en,transfer
230,"hi, I deposited a cheque but the cash hasn't arrived yet best Regards",21-6-2022,balance_not_updated_after_cheque_or_cash_deposit,en,cash
231,"hi, There's aa paayment with my caard thaat I definitely didn't creaate. I don't know aanyone by thaat naame. Best Regards",21-8-2022,card_payment_not_recognised,en,card
232,"Hi, How can I set up Google Pay on my device? Kind Regards",24-5-2022,apple_pay_or_google_pay,en,others
233,"Good afternoon, I want to know how to transfer money with my credit card Kind Regards",12-10-2022,topping_up_by_card,en,card
234,"good morning, Do I need to verify my top-up card? thanks",6-7-2022,verify_top_up,en,others
235,"good evening, A couple weeks ago there was a debit taken from my account from a transaction I don't recall. Is it possible to trace this transaction to make sure I'm not being scammed? kind Regards",23-3-2022,direct_debit_payment_not_recognised,en,others
236,"Boa tarde, Quando chegará o meu novo cartão? Melhores cumprimentos",15-8-2022,atm_support,pt,others
237,"good afternoon, Are theree any restrictions to where I can use my card? Thanks",15-12-2022,card_acceptance,en,card
238,"Good evening, I only received $20, but I requested $100. kind Regards",26-7-2022,wrong_amount_of_cash_received,en,cash
239,"good evening, I want to see what this fee is on my card payment. kind Regards",24-4-2022,card_payment_fee_charged,en,card
240,"good afternoon, If i want to change my pin number can I directly from an ATM? Thanks",14-3-2022,change_pin,en,security
241,"good afternoon, Since I got married, I need to change myy name. best Regards",21-8-2022,edit_personal_details,en,security
242,"hi, Someone may have made an error in figuring out the rate of exchange.  I should have received more cash than I did on my most recent withdrawal. kind Regards",3-9-2022,wrong_exchange_rate_for_cash_withdrawal,en,cash
243,"Hello, How often amm I able to top-up? best Regards",14-1-2022,top_up_limits,en,others
244,"Good afternoon, How much would I be charged for a transfer? Best Regards",16-8-2022,top_up_by_bank_transfer_charge,en,transfer
245,"good afternoon, My transfer did not work, what wass the reason? thanks",9-1-2022,failed_transfer,en,transfer
246,"Hello, Why wass my top up cancelled? Kind Regards",28-9-2022,top_up_reverted,en,others
247,"Good morning, How long does it take to activate the card, as it does not look like its working? Thanks",12-1-2022,activate_my_card,en,card
248,"Hi, is there a way to see where funds come from kind Regards",8-10-2022,verify_source_of_funds,en,others
249,"Hello, Why is my transfer still pending? Thanks",30-3-2022,pending_transfer,en,transfer
250,"Good morning, What does a 'pending payment' mean? thanks",26-6-2022,pending_card_payment,en,card
251,"Hi, If I want to topup by card, how do I do it? thanks",1-9-2022,supported_cards_and_currencies,en,card
252,"Good evening, When I got cash I believe that the exchange rate was wrong Kind Regards",9-11-2022,wrong_exchange_rate_for_cash_withdrawal,en,cash
253,"Hi, How can I find out where the funds are flow? thanks",28-12-2022,verify_source_of_funds,en,others
